_wkt_geom,id,xcoord,ycoord
Point (-77.9400962593914528 38.74431301265086347),17873,-77.94009626,38.74431301
Point (-77.78233816822974234 38.97854845491416143),17884,-77.78233817,38.97854845
Point (-77.54370931955756419 38.76391317136717163),17883,-77.54370932,38.76391317
Point (-77.49584283771156379 39.20858492205132961),17886,-77.49584284,39.20858492
Point (-77.50013078857774929 39.32515856376443253),17885,-77.50013079,39.32515856
Point (-77.69953145591698274 39.20513429861474464),17880,-77.69953146,39.2051343
Point (-76.79203626452134301 38.53174829928030931),17879,-76.79203626,38.5317483
Point (-77.33797399769636627 39.49020117030743648),17882,-77.337974,39.49020117
Point (-78.23637865729440932 38.56982001345353694),17881,-78.23637866,38.56982001
Point (-77.32424551231625287 38.95302521943649765),17828,-77.32424551,38.95302522
Point (-77.25973606678029171 39.25324009902711708),17827,-77.25973607,39.2532401
Point (-76.55472882411223168 38.70195265343514279),17830,-76.55472882,38.70195265
Point (-76.94175154507658476 39.04250078676248847),17829,-76.94175155,39.04250079
Point (-77.77704371989379695 38.82284962377575255),17824,-77.77704372,38.82284962
Point (-76.47545270833239783 38.32821678779316699),17823,-76.47545271,38.32821679
Point (-77.22630142347294679 39.36966374911569488),17826,-77.22630142,39.36966375
Point (-77.63399432147180335 39.36990667555042478),17825,-77.63399432,39.36990668
Point (-77.58206325704051665 38.0498145099781766),17836,-77.58206326,38.04981451
Point (-78.14015476875852073 38.94864196014440694),17835,-78.14015477,38.94864196
Point (-77.16261035073679864 39.47236694387915179),17838,-77.16261035,39.47236694
Point (-77.57879757220635497 39.42990240299149463),17837,-77.57879757,39.4299024
Point (-77.61902268487668266 38.05200192592888442),17832,-77.61902268,38.05200193
Point (-77.34422688337865281 38.67211038799711531),17831,-77.34422688,38.67211039
Point (-76.89495494000895803 39.03802472909224264),17834,-76.89495494,39.03802473
Point (-77.9923320040263377 38.37244537467311289),17833,-77.992332,38.37244537
Point (-77.98396393986665487 39.09102045115760404),17844,-77.98396394,39.09102045
Point (-77.31681213513883222 38.47317588927426613),17843,-77.31681214,38.47317589
Point (-77.87290597357797139 39.37550343537571962),17846,-77.87290597,39.37550344
Point (-77.89790921845431626 39.1745502877535472),17845,-77.89790922,39.17455029
Point (-77.01442003563518313 38.88622266551221429),17840,-77.01442004,38.88622267
Point (-78.12901178351980036 38.74235047417205635),17839,-78.12901178,38.74235047
Point (-76.89685188948442374 38.94697598024729501),17842,-76.89685189,38.94697598
Point (-77.30272614621763694 38.80552835909553977),17841,-77.30272615,38.80552836
Point (-77.8106424705710964 38.44608621658034764),17852,-77.81064247,38.44608622
Point (-77.32228745372624701 39.08339663383389961),17851,-77.32228745,39.08339663
Point (-77.57380283768199547 38.4287451169167511),17854,-77.57380284,38.42874512
Point (-76.5036675786656275 38.55472089639891209),17853,-76.50366758,38.5547209
Point (-78.13149748159959529 38.81966460304818156),17848,-78.13149748,38.8196646
Point (-77.94108558357464744 38.419958334427605),17847,-77.94108558,38.41995833
Point (-76.97425039461124641 39.15994727949895093),17850,-76.97425039,39.15994728
Point (-77.26000302147797072 38.55103755645708219),17849,-77.26000302,38.55103756
Point (-76.7345882820085734 38.54087835780298832),17796,-76.73458828,38.54087836
Point (-77.77729736470247701 38.99842353431684927),17795,-77.77729736,38.99842353
Point (-78.24251826100567087 38.94236495023240252),17798,-78.24251826,38.94236495
Point (-77.35066525371732382 38.89241553508313842),17797,-77.35066525,38.89241554
Point (-77.3784529080490131 38.63456478006575168),17792,-77.37845291,38.63456478
Point (-78.07447002383480594 38.89208312939040013),17791,-78.07447002,38.89208313
Point (-77.92016787328009286 38.95772485307799826),17794,-77.92016787,38.95772485
Point (-77.54230627535694964 38.62910268563960869),17793,-77.54230628,38.62910269
Point (-77.19954201427628959 38.47067700360940989),17804,-77.19954201,38.470677
Point (-77.3611943133182649 38.89684566242718233),17803,-77.36119431,38.89684566
Point (-76.9817488715678877 38.30564767789998371),17806,-76.98174887,38.30564768
Point (-77.36296500521721953 38.46584739043558443),17805,-77.36296501,38.46584739
Point (-77.91703264125058581 39.17815038747637146),17800,-77.91703264,39.17815039
Point (-77.00317950446826387 38.66711549251044033),17799,-77.0031795,38.66711549
Point (-77.56933235511657188 38.73081936934420355),17802,-77.56933236,38.73081937
Point (-77.98576144527447696 38.39324060458810095),17801,-77.98576145,38.3932406
Point (-77.78842643192282935 38.4307909837175643),17812,-77.78842643,38.43079098
Point (-78.2595448285193811 38.61921792122208785),17811,-78.25954483,38.61921792
Point (-77.83041734887029861 38.61652762639926095),17814,-77.83041735,38.61652763
Point (-77.14012449948808126 38.57163139208225999),17813,-77.1401245,38.57163139
Point (-77.41415755805195431 39.41214762751696554),17808,-77.41415756,39.41214763
Point (-77.12737663928572829 39.1546007832849341),17807,-77.12737664,39.15460078
Point (-76.84884673125951338 38.8409996349391804),17810,-76.84884673,38.84099963
Point (-77.55132005595515921 39.03233760171937661),17809,-77.55132006,39.0323376
Point (-76.69820109514169815 38.52739405726448041),17820,-76.6982011,38.52739406
Point (-76.54808773518328735 38.47449448387737903),17819,-76.54808774,38.47449448
Point (-76.72032164995161452 38.73356801781942238),17822,-76.72032165,38.73356802
Point (-78.34471475218265368 38.85158298208348526),17821,-78.34471475,38.85158298
Point (-77.48925956065738774 38.90025829613232133),17816,-77.48925956,38.9002583
Point (-77.28414239001089925 39.0214376748600813),17815,-77.28414239,39.02143767
Point (-77.12432378805989686 39.06046877359291614),17818,-77.12432379,39.06046877
Point (-77.15344631029591937 38.47096359108040531),17817,-77.15344631,38.47096359
Point (-76.75937376165956039 39.0332158003658094),17764,-76.75937376,39.0332158
Point (-77.30492949118962542 39.42966249080554775),17763,-77.30492949,39.42966249
Point (-77.77001347436281264 39.12966796330942287),17766,-77.77001347,39.12966796
Point (-77.22861221943419707 38.53187314305454692),17765,-77.22861222,38.53187314
Point (-77.04721819679060957 39.166005875859355),17760,-77.0472182,39.16600588
Point (-77.39189019916163659 39.41360669118966342),17759,-77.3918902,39.41360669
Point (-77.38691292156853763 38.74790799463399082),17762,-77.38691292,38.74790799
Point (-78.13523107839216664 38.48122738811688492),17761,-78.13523108,38.48122739
Point (-77.26867504757993288 38.77934482099779245),17772,-77.26867505,38.77934482
Point (-77.69183422976719555 38.0690992649155362),17771,-77.69183423,38.06909926
Point (-76.68120822082158838 38.71681139771429514),17774,-76.68120822,38.7168114
Point (-76.84305217970322133 38.96787871501494749),17773,-76.84305218,38.96787872
Point (-78.30226653877629417 38.86850253120929466),17768,-78.30226654,38.86850253
Point (-77.59792885814243846 39.50007793837887249),17767,-77.59792886,39.50007794
Point (-77.4332720956028453 38.8319586052625354),17770,-77.4332721,38.83195861
Point (-77.75437172340056691 39.22477515336696996),17769,-77.75437172,39.22477515
Point (-77.54361114243832276 38.0853801539203829),17780,-77.54361114,38.08538015
Point (-78.04564849733465337 38.93330595849859321),17779,-78.0456485,38.93330596
Point (-77.16109641711435074 38.37370694292965823),17782,-77.16109642,38.37370694
Point (-78.23503754264302756 39.00491969373927503),17781,-78.23503754,39.00491969
Point (-77.46098943714585516 38.47510472360808365),17776,-77.46098944,38.47510472
Point (-77.37594391524770288 39.02655900898813002),17775,-77.37594392,39.02655901
Point (-77.16719430899937038 38.45182751439611479),17778,-77.16719431,38.45182751
Point (-77.19033459385453 39.28654365877289933),17777,-77.19033459,39.28654366
Point (-77.59043747273190661 38.31378039592934215),17788,-77.59043747,38.3137804
Point (-78.27181783890026168 38.73382644770065042),17787,-78.27181784,38.73382645
Point (-77.2203670062693277 38.58254669717565832),17790,-77.22036701,38.5825467
Point (-77.37445836111095332 39.25023109206435379),17789,-77.37445836,39.25023109
Point (-77.00606163875666255 38.95237484881444345),17784,-77.00606164,38.95237485
Point (-77.96599050803052933 39.0631589083515891),17783,-77.96599051,39.06315891
Point (-78.24388052233594237 38.90963687197651666),17786,-78.24388052,38.90963687
Point (-78.18401001706139652 38.9196165370141145),17785,-78.18401002,38.91961654
Point (-77.2876789473842507 39.50605687897500218),17732,-77.28767895,39.50605688
Point (-76.93029078859383674 38.23773616496658434),17731,-76.93029079,38.23773616
Point (-77.05305093211802614 39.0085108254638655),17734,-77.05305093,39.00851083
Point (-77.50480286482073211 38.33263321442505855),17733,-77.50480286,38.33263321
Point (-77.46229979821913503 38.36557552272894611),17728,-77.4622998,38.36557552
Point (-77.57493890972077111 39.28246646961332544),17727,-77.57493891,39.28246647
Point (-77.59854941018463137 38.52316996047546382),17730,-77.59854941,38.52316996
Point (-77.70137014244591001 38.19229610804011799),17729,-77.70137014,38.19229611
Point (-77.48767633752396478 38.74959585699854614),17740,-77.48767634,38.74959586
Point (-77.6423383241899927 38.77387535545157249),17739,-77.64233832,38.77387536
Point (-77.69858405686404978 38.59164842487217584),17742,-77.69858406,38.59164842
Point (-76.94363235611118057 38.67068989709105153),17741,-76.94363236,38.6706899
Point (-76.35408225550065708 38.32863415341835633),17736,-76.35408226,38.32863415
Point (-77.60236207160762945 39.17578780788612391),17735,-77.60236207,39.17578781
Point (-77.4832510137035797 39.06482312388796174),17738,-77.48325101,39.06482312
Point (-77.85202944765080701 38.53655480754829199),17737,-77.85202945,38.53655481
Point (-77.29484092061595391 39.02818260727702437),17748,-77.29484092,39.02818261
Point (-77.36358578336439962 39.28985919723196218),17747,-77.36358578,39.2898592
Point (-77.58992918424134189 38.42883255977960033),17750,-77.58992918,38.42883256
Point (-78.27942781573743503 38.66885682513249378),17749,-78.27942782,38.66885683
Point (-77.51738738126307737 39.24911685030396313),17744,-77.51738738,39.24911685
Point (-78.18476523179241156 38.81954141144179715),17743,-78.18476523,38.81954141
Point (-76.92487876950710302 38.77600835192653506),17746,-76.92487877,38.77600835
Point (-77.54683776569505937 38.38334175273128324),17745,-77.54683777,38.38334175
Point (-78.12959054116609536 38.8927935367289308),17756,-78.12959054,38.89279354
Point (-76.86887899194300644 38.44304398736696271),17755,-76.86887899,38.44304399
Point (-77.31712214078328316 38.82572073140090652),17758,-77.31712214,38.82572073
Point (-77.27530710388489865 39.09019523118637096),17757,-77.2753071,39.09019523
Point (-77.68320995841675369 38.1908826568315547),17752,-77.68320996,38.19088266
Point (-77.34042823637088304 39.20895634574526412),17751,-77.34042824,39.20895635
Point (-77.40486735792468664 39.28261041587430213),17754,-77.40486736,39.28261042
Point (-77.45089644786163774 38.38085818606192134),17753,-77.45089645,38.38085819
Point (-77.69715756166499432 39.24755357698037272),17700,-77.69715756,39.24755358
Point (-78.10493573101891229 38.43286135778297563),17699,-78.10493573,38.43286136
Point (-77.55965384365201487 38.96937615299201241),17702,-77.55965384,38.96937615
Point (-77.6383534578640564 38.60253493575843464),17701,-77.63835346,38.60253494
Point (-78.29791280383768992 38.99061937482814244),17696,-78.2979128,38.99061937
Point (-77.45195496728108253 39.6203392098802496),17695,-77.45195497,39.62033921
Point (-77.75612025172624442 38.88679886593623536),17698,-77.75612025,38.88679887
Point (-77.32428347710511218 39.17935343630310285),17697,-77.32428348,39.17935344
Point (-76.84841871965514315 38.25136147666190567),17708,-76.84841872,38.25136148
Point (-78.02393152768262041 38.37887262186117709),17707,-78.02393153,38.37887262
Point (-77.14959115179752303 38.52865643570500964),17710,-77.14959115,38.52865644
Point (-78.03852003355234501 38.84494026931903221),17709,-78.03852003,38.84494027
Point (-77.91669963654145192 39.00842342321724487),17704,-77.91669964,39.00842342
Point (-77.42865337288834837 38.30446074018881575),17703,-77.42865337,38.30446074
Point (-77.06004358648453945 38.43719391781732497),17706,-77.06004359,38.43719392
Point (-76.66040879813799336 38.66949417441354342),17705,-76.6604088,38.66949417
Point (-77.51623125254047864 38.51986282105183079),17716,-77.51623125,38.51986282
Point (-76.51420929150715722 38.70179887255753215),17715,-76.51420929,38.70179887
Point (-77.66595649475907237 38.13542957094926322),17718,-77.66595649,38.13542957
Point (-78.08920539031630881 38.41903461398787556),17717,-78.08920539,38.41903461
Point (-77.79211455471380532 38.98078704368471392),17712,-77.79211455,38.98078704
Point (-76.43573246004251587 38.32236858217592612),17711,-76.43573246,38.32236858
Point (-77.77789054813628411 38.49401364482834964),17714,-77.77789055,38.49401364
Point (-78.10454792892825537 38.78912851776573945),17713,-78.10454793,38.78912852
Point (-77.16293992687745629 38.36740585588519536),17724,-77.16293993,38.36740586
Point (-77.73394833058362963 39.22683049150967349),17723,-77.73394833,39.22683049
Point (-76.85919930587419913 38.88478748166001964),17726,-76.85919931,38.88478748
Point (-77.51722455054031968 39.62668247072587491),17725,-77.51722455,39.62668247
Point (-77.2685484079341478 38.3910181709225995),17720,-77.26854841,38.39101817
Point (-77.61362975173339862 39.46010403455702686),17719,-77.61362975,39.46010403
Point (-77.30999655149672378 39.01549667122614551),17722,-77.30999655,39.01549667
Point (-77.70679999888108114 38.52883463453978408),17721,-77.7068,38.52883463
Point (-77.41079337347898104 38.46139690019544588),17668,-77.41079337,38.4613969
Point (-77.70028901824470324 38.72679712437153654),17667,-77.70028902,38.72679712
Point (-78.0250014815278945 39.07603002181005536),17670,-78.02500148,39.07603002
Point (-77.9776204901374399 38.87559084751736549),17669,-77.97762049,38.87559085
Point (-77.38374681809067113 38.9560436817800948),17664,-77.38374682,38.95604368
Point (-77.46102887512913071 38.34385669446753298),17663,-77.46102888,38.34385669
Point (-76.74467674847987553 38.86062350145240174),17666,-76.74467675,38.8606235
Point (-77.37553327283696092 39.1271285449170847),17665,-77.37553327,39.12712854
Point (-76.38182609517451738 38.44568955335140004),17676,-76.3818261,38.44568955
Point (-76.87687353433057069 38.79204924063149207),17675,-76.87687353,38.79204924
Point (-76.74304230745158861 38.53174721736814234),17678,-76.74304231,38.53174722
Point (-77.43243903195312328 38.45577052779660221),17677,-77.43243903,38.45577053
Point (-76.75413976376512437 38.96639441120645841),17672,-76.75413976,38.96639441
Point (-77.5206553113356307 39.59589261194299326),17671,-77.52065531,39.59589261
Point (-76.55193029218790457 38.52847146324062066),17674,-76.55193029,38.52847146
Point (-77.89786258071421798 38.63340684063341968),17673,-77.89786258,38.63340684
Point (-77.56427913400553109 38.58655533017542894),17684,-77.56427913,38.58655533
Point (-76.95355496800482342 38.76572800955449338),17683,-76.95355497,38.76572801
Point (-77.77526768305197891 39.48975594839070169),17686,-77.77526768,39.48975595
Point (-76.48424780959862801 38.45155418528032243),17685,-76.48424781,38.45155419
Point (-77.58688902946344967 38.71553879400678966),17680,-77.58688903,38.71553879
Point (-77.49156138557232509 38.37989189522081546),17679,-77.49156139,38.3798919
Point (-77.70924967277275641 38.92875014238929765),17682,-77.70924967,38.92875014
Point (-77.75905956045320977 38.19701849528689763),17681,-77.75905956,38.1970185
Point (-77.35315316290049736 39.68532712782550931),17692,-77.35315316,39.68532713
Point (-77.01077953144445587 38.41888924535328442),17691,-77.01077953,38.41888925
Point (-77.47544233639318634 39.33628960212239178),17694,-77.47544234,39.3362896
Point (-76.85073257245403511 38.87110999858985139),17693,-76.85073257,38.87111
Point (-76.90607346394105548 38.34828278629031928),17688,-76.90607346,38.34828279
Point (-77.62881043471618625 38.44484776295144002),17687,-77.62881043,38.44484776
Point (-76.76846657129173934 38.86095425192726083),17690,-76.76846657,38.86095425
Point (-76.92156487831471168 38.99576460718228077),17689,-76.92156488,38.99576461
Point (-77.81790060567202261 38.71112316103547357),17636,-77.81790061,38.71112316
Point (-77.16893215455031907 38.36000889853209372),17635,-77.16893215,38.3600089
Point (-77.40831186061780045 39.39958588355561631),17638,-77.40831186,39.39958588
Point (-77.93232097455123153 39.1938683184117167),17637,-77.93232097,39.19386832
Point (-77.78508328573293795 38.55102728386720656),17632,-77.78508329,38.55102728
Point (-77.8350233524923425 38.89712083182343605),17631,-77.83502335,38.89712083
Point (-77.66856756797268702 38.30822193805822451),17634,-77.66856757,38.30822194
Point (-76.53765630400535258 38.48573230687016178),17633,-76.5376563,38.48573231
Point (-76.68800684377247023 38.57506130764586061),17644,-76.68800684,38.57506131
Point (-77.27994802011644992 39.52382683761784676),17643,-77.27994802,39.52382684
Point (-78.22934767384967358 38.67738795113692873),17646,-78.22934767,38.67738795
Point (-77.91386974061592241 38.55624004206373456),17645,-77.91386974,38.55624004
Point (-76.43957862253279245 38.32942828448968697),17640,-76.43957862,38.32942828
Point (-76.83466762897873537 38.65776505814541508),17639,-76.83466763,38.65776506
Point (-78.04537740097029541 38.32133672117064549),17642,-78.0453774,38.32133672
Point (-77.90285872581166871 38.90741967397666912),17641,-77.90285873,38.90741967
Point (-77.72406203686118431 38.46801291759464192),17652,-77.72406204,38.46801292
Point (-77.29481209722067092 39.1310060358400662),17651,-77.2948121,39.13100604
Point (-76.71870816358904221 38.91899201111200313),17654,-76.71870816,38.91899201
Point (-76.91794305761906969 38.44730520965706688),17653,-76.91794306,38.44730521
Point (-77.00177554380823608 38.58757613816924703),17648,-77.00177554,38.58757614
Point (-76.97300141793745354 38.82372673550655406),17647,-76.97300142,38.82372674
Point (-78.01242151925029589 38.48827402829001443),17650,-78.01242152,38.48827403
Point (-77.50529815411304924 38.63380429713134134),17649,-77.50529815,38.6338043
Point (-77.36065709660205414 39.19981092986070337),17660,-77.3606571,39.19981093
Point (-77.38169566929630605 39.59423112862679517),17659,-77.38169567,39.59423113
Point (-77.67544554511864874 38.50090474313228128),17662,-77.67544555,38.50090474
Point (-76.44606163544234789 38.50755411220975333),17661,-76.44606164,38.50755411
Point (-77.12792153073573331 38.58692150586546887),17656,-77.12792153,38.58692151
Point (-78.18023088784575236 38.64614391291907225),17655,-78.18023089,38.64614391
Point (-77.34076858439718194 39.65969753872551706),17658,-77.34076858,39.65969754
Point (-77.11679204115154107 38.50627396807321645),17657,-77.11679204,38.50627397
Point (-77.16127621252567792 38.38832879775134188),17604,-77.16127621,38.3883288
Point (-77.39978716402566761 38.62756881238508555),17603,-77.39978716,38.62756881
Point (-77.61177985789788636 38.9870018739199935),17606,-77.61177986,38.98700187
Point (-77.54895328550168188 39.21975962432990315),17605,-77.54895329,39.21975962
Point (-77.43577169515440062 38.67972598068953971),17600,-77.4357717,38.67972598
Point (-76.98501710155670708 38.42791051666566915),17599,-76.9850171,38.42791052
Point (-76.93475748167605843 39.00725287467389535),17602,-76.93475748,39.00725287
Point (-76.97765181388461997 38.67062128241408203),17601,-76.97765181,38.67062128
Point (-76.4685108407914953 38.64072760642741144),17612,-76.46851084,38.64072761
Point (-78.03799093491646488 38.79712960749176887),17611,-78.03799093,38.79712961
Point (-77.0632326769333531 38.82908364788276145),17614,-77.06323268,38.82908365
Point (-76.82171977556069464 38.74950920243753671),17613,-76.82171978,38.7495092
Point (-76.77276371137911326 38.92920051867211129),17608,-76.77276371,38.92920052
Point (-77.37478240694824194 38.33324635749055886),17607,-77.37478241,38.33324636
Point (-77.49726635348220327 39.51619288869556357),17610,-77.49726635,39.51619289
Point (-77.79659577925082203 38.83367051795183755),17609,-77.79659578,38.83367052
Point (-77.62068291072607451 38.10814930367894959),17620,-77.62068291,38.1081493
Point (-77.77094579294447385 39.4275277378553497),17619,-77.77094579,39.42752774
Point (-76.52976296101722653 38.48150161542445602),17622,-76.52976296,38.48150162
Point (-77.27781953121446179 39.67727342676310798),17621,-77.27781953,39.67727343
Point (-77.2927615773346588 39.31530164090252555),17616,-77.29276158,39.31530164
Point (-77.85000475556968524 38.58029312599283855),17615,-77.85000476,38.58029313
Point (-77.02231080239553762 39.08145718969907279),17618,-77.0223108,39.08145719
Point (-77.08876371612903711 38.78886185137384501),17617,-77.08876372,38.78886185
Point (-77.72780728818872831 38.08994603798878842),17628,-77.72780729,38.08994604
Point (-77.05881543891877072 39.09944467860762529),17627,-77.05881544,39.09944468
Point (-78.06644105230388675 38.91558850205385767),17630,-78.06644105,38.9155885
Point (-77.43855505804611994 39.01679583646800609),17629,-77.43855506,39.01679584
Point (-77.9060186673836057 38.60886600985260486),17624,-77.90601867,38.60886601
Point (-78.12463259467358512 38.83643487489835167),17623,-78.12463259,38.83643487
Point (-76.84622569905425848 38.23137350467486328),17626,-76.8462257,38.2313735
Point (-78.24489516628601393 38.57287371886089744),17625,-78.24489517,38.57287372
Point (-77.25834643706679117 38.53665929417960001),17572,-77.25834644,38.53665929
Point (-76.64675124928682237 38.68215472063718607),17571,-76.64675125,38.68215472
Point (-77.84424352569971006 39.2088400630835352),17574,-77.84424353,39.20884006
Point (-77.74887401079152482 39.39941900394744323),17573,-77.74887401,39.399419
Point (-78.12051038371504319 39.00177072220396468),17568,-78.12051038,39.00177072
Point (-77.55396701171292762 38.29419369548672591),17567,-77.55396701,38.2941937
Point (-76.42916667641827644 38.37507237635060875),17570,-76.42916668,38.37507238
Point (-77.89653147944881084 38.64657709371928007),17569,-77.89653148,38.64657709
Point (-76.89067343567960222 38.63927376411324133),17580,-76.89067344,38.63927376
Point (-77.77180362917850687 38.39523659724722648),17579,-77.77180363,38.3952366
Point (-77.8514600805515613 39.24067693512598964),17582,-77.85146008,39.24067694
Point (-77.59676324768561528 39.20400278710787489),17581,-77.59676325,39.20400279
Point (-76.50813737235810663 38.67974620825219745),17576,-76.50813737,38.67974621
Point (-78.03271164162731566 38.71715489754247841),17575,-78.03271164,38.7171549
Point (-78.05458618190156983 39.06146127171268745),17578,-78.05458618,39.06146127
Point (-77.64889095130209284 39.34054005623155348),17577,-77.64889095,39.34054006
Point (-77.60366556230781043 39.00764581532670405),17588,-77.60366556,39.00764582
Point (-77.69122363488240524 38.08577291843371881),17587,-77.69122363,38.08577292
Point (-76.93809172805835317 38.76666327787232547),17590,-76.93809173,38.76666328
Point (-78.00492315042163227 39.09187149389537552),17589,-78.00492315,39.09187149
Point (-76.5981682620329849 38.62381499126160378),17584,-76.59816826,38.62381499
Point (-77.77564045153147276 38.18223815368694574),17583,-77.77564045,38.18223815
Point (-77.32061897956977248 39.64571077625726048),17586,-77.32061898,39.64571078
Point (-78.20821281702599492 38.71220534743620334),17585,-78.20821282,38.71220535
Point (-77.65644426687150315 38.49230124929944452),17596,-77.65644427,38.49230125
Point (-77.47855465709466216 39.57269832762051465),17595,-77.47855466,39.57269833
Point (-78.01765363195198688 38.61589542766986227),17598,-78.01765363,38.61589543
Point (-77.54561935495026148 39.2446686650287333),17597,-77.54561935,39.24466867
Point (-77.47933235902587512 39.35582338253705359),17592,-77.47933236,39.35582338
Point (-76.76463200227013317 38.81641470419810958),17591,-76.764632,38.8164147
Point (-77.20761759199513108 39.24594247467281605),17594,-77.20761759,39.24594247
Point (-77.73542847838095327 39.25719137141945936),17593,-77.73542848,39.25719137
Point (-76.6608918708114544 38.71981529926127763),17540,-76.66089187,38.7198153
Point (-77.84178570336356984 38.44449074564838043),17539,-77.8417857,38.44449075
Point (-77.70370889960793193 39.3203483862410863),17542,-77.7037089,39.32034839
Point (-77.34122769558132404 38.53276710614429135),17541,-77.3412277,38.53276711
Point (-77.9663577989093568 38.5969860753842724),17536,-77.9663578,38.59698608
Point (-77.88105576192471347 38.6977152012684229),17535,-77.88105576,38.6977152
Point (-77.71804604746047573 38.93263438565742263),17538,-77.71804605,38.93263439
Point (-77.47261034463345197 38.90893348269789698),17537,-77.47261034,38.90893348
Point (-77.24195324375735083 39.08724168385428044),17548,-77.24195324,39.08724168
Point (-77.73974499295513851 38.42158524893185501),17547,-77.73974499,38.42158525
Point (-77.0152105975456891 38.40772711853997379),17550,-77.0152106,38.40772712
Point (-77.36411233486090566 38.7371393595657949),17549,-77.36411233,38.73713936
Point (-78.11960015599323981 38.98080129968211338),17544,-78.11960016,38.9808013
Point (-77.39084311114805814 38.22812963074559889),17543,-77.39084311,38.22812963
Point (-76.75493408400210171 38.97902056463573928),17546,-76.75493408,38.97902056
